MSV,classCode,subjectCode
12008182,PHY2306,PHY2306
14009946,MAT3452 1,MAT3452
15103708,PHY1103 12,PHY1103
16000260,CHE1057 1,CHE1057
16000260,CHE1080 4,CHE1080
16000260,EVS3242 1,EVS3242
16000260,EVS3287,EVS3287
16000260,EVS3455,EVS3455
16000260,HIS1056 7,HIS1056
16000260,MAT1090 1,MAT1090
16000260,MAT1092 3,MAT1092
16000260,MAT1101 4,MAT1101
16000260,PHY1103 4,PHY1103
16000386,PHY1161 1CTĐB,PHY1161 CTĐB
16000916,CHE3253,CHE3253
16000916,HIS1056 10,HIS1056
16001233,EVS3244 1,EVS3244
16001233,EVS3287,EVS3287
16001233,EVS3455,EVS3455
16001379,CHE1080 1,CHE1080
16001379,CHE1081 5,CHE1081
16001379,EVS2017,EVS2017
16001379,EVS3241,EVS3241
16001379,EVS3242 1,EVS3242
16001379,EVS3248,EVS3248
16001379,EVS3409,EVS3409
16002563,MAT1192 1,MAT1192
16002563,PHI1002 1,PHI1002
16002563,PHY1103 1,PHY1103
16002583,MAT2311 2TNT,MAT2311 TNT
16002583,MAT3305,MAT3305
16002583,MAT3318 2TNT,MAT3318 TNT
16002583,MAT3347 1,MAT3347
16003010,MAT2311,MAT2311
16003170,BIO2202 6,BIO2202
16003170,BIO3252E QTS,BIO3252E QTS
16003170,BIO3400E 2QTS,BIO3400E QTS
16003170,CHE1081 14QTS,CHE1081 QTS
16003170,MAT1101 12,MAT1101
16003170,PHY1103 2,PHY1103
16003408,EVS2301 1,EVS2301
16003408,EVS2302 4,EVS2302
16003408,HIS1056 6,HIS1056
16003408,MAT1092 5,MAT1092
16003408,PHI1002 9,PHI1002
16003408,PHY1103 14CLCMTKHTT,PHY1103 CLCMTKHTT
16003476,BIO2202 4,BIO2202
16003600,BIO3302 4,BIO3302
16003755,MAT3300 3TNT,MAT3300 TNT
16004481,GLO2056,GLO2056
16004481,MAT1091 7,MAT1091
16004481,MAT1192 8QTS,MAT1192 QTS
16004519,MAT1091 4,MAT1091
16004736,BIO3302 1,BIO3302
16004795,BIO3405E QTS,BIO3405E QTS
16005006,MAT1101 7,MAT1101
16005006,PHY1108 4,PHY1108
16005006,PHY2304 3,PHY2304
16005420,CHE1084,CHE1084
16005601,EVS3241,EVS3241
16005950,MAT2301 3,MAT2301
16005950,MAT2303 3,MAT2303
16005950,MAT3305,MAT3305
16005950,MAT3306,MAT3306
16006110,PHY1100 14,PHY1100
16006115,CHE1080 3,CHE1080
16006115,EVF2032,EVF2032
16006115,EVS3250 2,EVS3250
16006115,EVS3409,EVS3409
16006115,EVS3453,EVS3453
16006115,MAT1091 4,MAT1091
16006115,MAT1101 10,MAT1101
16006115,PHI1002 12,PHI1002
16006115,PHY1103 3,PHY1103
16006275,PHY2302 1,PHY2302
16006275,PHY3508 3,PHY3508
16006283,HIS1001 12,HIS1001
16006283,HMO3603,HMO3603
16006283,HMO3608,HMO3608
16006283,HMO3610,HMO3610
16006283,PHI1002 12,PHI1002
16006503,EVS3241,EVS3241
16006825,PHY2304 5,PHY2304
16007060,CHE1081 10,CHE1081
16007096,MAT3300 2,MAT3300
16007791,MAT1092 3,MAT1092
16007791,MAT2403 3,MAT2403
16008258,MAT1101 10,MAT1101
16008258,PHY1103 1,PHY1103
16008265,CHE1081 14QTS,CHE1081 QTS
16008485,MAT1092 3,MAT1092
16008485,MAT2403 3,MAT2403
16008485,PHY1106 QTL,PHY1106 QTL
16008485,POL1001 6,POL1001
16008513,MAT1101 1,MAT1101
16008531,CHE1084,CHE1084
16008531,CHE2114,CHE2114
16008531,MAT1101 14,MAT1101
16008908,MAT2311 2TNT,MAT2311 TNT
16008908,MAT3318 2TNT,MAT3318 TNT
16008908,MAT3347 1,MAT3347
16008946,CHE1081 3,CHE1081
16008946,EVS2302 2,EVS2302
16008946,EVS3241,EVS3241
