classCode,MSVList,numberStudents
BIO2043 CLCCNS,"[19005818, 20001462, 19005687, 19005510, 19004603, 19003223, 19009535]",7
BIO2044,"[19004913, 19004146, 19008788, 19007399, 19006762, 19003334, 19003239, 19004249, 19009432, 19003659, 19005954, 19000871, 19003951, 19005017, 19000145, 19006081, 19008763, 19004348, 19009594, 18008510, 19001739, 19004128, 19004987, 19008152, 19000903, 19007584, 19003587, 19008934, 19000307, 19005075, 19009254, 19002972, 19003032, 19009047, 19003904, 19007201, 19002671, 19004315, 19003571, 19000545, 19000954, 19005530, 19003736, 19003076, 19006949, 19003731, 19000380, 19009315, 19008032, 20005954, 19007301, 19007176, 19009917, 19000880, 20008763, 19000012, 19007688, 19005135, 19009108, 19002118, 19008511, 19005538]",62
BIO2045 1,"[19004146, 19008788, 20002943, 19007399, 19006762, 20009047, 20007201, 20000733, 17005746, 19004249, 19003659, 20003389, 19003951, 20005530, 20003076, 20008325, 19009594, 19001739, 19007363, 18007627, 19000307, 18002341, 19005075, 18000003, 19002972, 19009047, 18005255, 19003904, 19007201, 19002671, 19004315, 20002118, 19000954, 19003076, 19006949, 18007275, 18007345, 19003731, 20005954, 19007301, 19000012, 19007688, 19009108, 20004751, 19002118]",45
BIO2045 2,"[19004913, 19003334, 18008574, 19009432, 20000521, 20009773, 19005954, 19000871, 19005017, 20003736, 18000757, 19000145, 19006081, 19008763, 19004348, 19004128, 19004987, 19008152, 20003731, 19000903, 18005925, 19007584, 19003587, 19008934, 20005436, 19009254, 20001206, 19003032, 20009669, 20005538, 19003571, 19005530, 19003736, 18003602, 20009046, 20007399, 19000380, 19009315, 19008032, 19007176, 19009917, 19000880, 20001940, 19005135, 19008511]",45
BIO2045E 1CLCCNS,"[21006480, 21001243, 21008297, 21003381, 21002632, 21009084, 20006451, 21007956, 21001495, 21006648, 21007327, 21008800, 21008510, 21006445, 21005238, 21000830, 21009884, 21009188, 21004280, 21001071, 21003532, 21006735, 20000254, 21003105, 21008544, 21003718, 21005511, 19002331, 21004555, 21008931, 20000583, 21006856, 21000212, 20000860, 21009446, 20003366, 21004032, 20007634, 19008662, 20006480, 21001828, 21009373, 20001495]",43
BIO2045E 2CLCCNS,"[21005681, 21005657, 21001328, 21005294, 21001950, 21001266, 21007365, 21004702, 21000535, 21008855, 21008754, 21009972, 21008452, 21007831, 21003863, 21003989, 21005054, 21008037, 21003842, 21003770, 21002415, 21008635, 21001910, 21004003, 21009471, 21006522, 21000482, 21004168]",28
BIO2045E 3CLCCNS,"[21000842, 21008657, 21006273, 21008172, 21004542, 21001799, 17002957, 21001243, 21003651, 21007176, 21007056, 21001877, 21002660, 21008723, 21008162, 21007065, 21005550, 21005982, 21001549, 18000595, 21008511, 21009663, 21008520, 21009822, 21002523, 21007045, 21006058, 21009364, 21002415, 21006927, 21000787, 21008817, 21009435, 21008273, 21002400, 21005133, 21003669, 21004215, 21004316, 21004128, 21002043, 21005612, 21003048, 21007402, 21000116, 21007991, 21000203]",47
BIO2088 1,"[19001563, 19003248, 19009663, 18003155, 19006621, 18004828, 19008064, 18008250, 19004771, 19003507, 19007583, 18004542, 19001343, 18003023, 19001423, 18002391, 18008928, 18005463, 18007034, 18001902]",20
BIO2088 2,"[19001896, 19007983, 19005420, 19009046, 19003516, 19008323, 19001940, 19000701, 19005375, 19004751, 19006053, 19002246, 19007657, 19009870, 19008271, 19005928, 19009590, 19000697, 19006034, 19009699, 19009046, 19004137, 19002472, 19001122, 19004235]",25
BIO2088 3,"[19001097, 19007889, 19009994, 19005106, 19005102, 19008318, 19004658, 19002899, 19009197, 20008680, 19005906, 19009946, 19002954, 19008054, 19008839, 19003350, 19001501, 18007275, 19004738, 19009059, 19008293, 19002327]",22
BIO2088 4,"[19006082, 19001565, 19003089, 19009041, 19002324, 19003123, 19001814, 19004822, 18005982, 18006622, 19005034, 18002746, 19000702, 18005934, 19008915, 19002315, 19006637, 19000128, 19004665, 19001615, 19003549, 19000401, 19004298]",23
BIO2089 TNS,"[19003782, 19001862, 18000338, 19005898, 19006950, 19007115, 19005255, 19002611, 19003918, 19004693, 19001710, 17008800, 19007285, 19009746, 19009352, 19003433, 19004449, 18008398, 19004839, 19009193, 19005618, 19005337]",22
BIO2092,"[19004913, 19004146, 19008788, 19007399, 19006762, 19003334, 19003239, 19004249, 19009432, 19003659, 19005954, 19000871, 19003951, 19005017, 20000481, 19000145, 19006081, 19008763, 19004348, 18006181, 19009594, 19001739, 19004987, 19008152, 19000903, 19007584, 19003587, 20005287, 20006363, 19008934, 19005075, 19009254, 19002972, 19003032, 19009047, 19003904, 19007201, 19002671, 19004315, 19003571, 20002505, 19000954, 19005530, 19003736, 19003076, 20009336, 19003731, 19008032, 19007301, 19007176, 19009917, 19000880, 20008763, 20001739, 20008152, 19000012, 19007688, 19005135, 19009108, 19002118, 19008511, 19005538]",62
BIO2127 1CLCCNS,"[20009806, 19008070, 19005818, 20005069, 19000762, 19005687, 19001925, 19002880, 19003801, 19008686, 19002331, 19001370, 19001761, 19001974, 20009918, 19004495, 19004397, 20001360, 20008032, 19007762, 19000758, 19009555, 20001691, 19004603, 19003874, 19004408, 20002176, 19004395, 19008569, 19008662, 20001716, 19006057, 19008932, 21006058, 19004922, 20008297, 20009084, 19008617, 19007359, 19007156, 19005524]",41
BIO2127 2CLCCNS,"[19003700, 17005075, 19005900, 19000929, 19007345, 19006272, 19005059, 20005952, 19005950, 19009774, 19000515, 20003918, 19002697, 19001727, 19000983, 19003063, 20009486, 20006748, 19007511, 19003529, 19000547, 19004261, 19009962, 19009078, 19001210, 19004945, 19004159, 19000203, 19005510, 19008761, 19009742, 19009194, 19007640, 19001513, 19001788, 19004004, 19003347, 19003223, 19008112, 19008182, 19007110, 19007896, 19000013, 20006480, 19003379, 19008496, 19009535, 19003544, 19000061, 19002853, 19002691, 19008602, 19004045, 19008182, 19009428]",55
BIO2201 1,"[19003248, 19001565, 19003516, 19003089, 18000957, 19008152, 19000701, 19007363, 19002324, 18007115, 19000697, 19008054, 19004822, 19006949, 19009699, 19000380, 19004137, 19008915, 19002315, 19006637, 19000128, 19000880, 19000401, 19004298]",24
BIO2201 2,"[19004146, 19003334, 19009432, 19005954, 19000871, 19003951, 19001739, 19007584, 19009254, 19009047, 19002671, 20009108, 20001896, 19000545, 19005530, 19003076, 20003248, 20006082, 19009315, 19008032, 19009917, 19005135, 20005375, 19008511]",24
BIO2201 3,"[19004913, 19008788, 19007399, 19006762, 20009047, 19003239, 19004249, 19003659, 19005017, 19008763, 19009594, 19004987, 19000903, 19003587, 19000307, 19003032, 19003571, 18002253, 19003731, 19007301, 21000307, 19000012, 19007688, 19002118, 19005538]",25
BIO2201 4,"[19000145, 19006081, 18008510, 19010426, 18006748, 19008934, 20006490, 19005075, 19005525, 19002972, 19017992, 19004315, 19014458, 19013220, 19000954, 18001486, 19003736, 20007043, 19019328, 21006081, 19007176, 20004348, 19009108]",23
BIO2202 1,"[19004913, 19003334, 19009432, 19005954, 19000871, 19008763, 20003357, 19001739, 18000957, 19007363, 19007584, 19003587, 20002195, 19009254, 19009047, 19002671, 19005530, 20004913, 19003076, 20003248, 19007301, 19009917, 20008763, 20005375, 20003587]",25
BIO2202 2,"[19004146, 19003951, 19005017, 19000145, 21003850, 18008510, 19004987, 18002099, 19008934, 18005255, 19007201, 21001676, 19000545, 17006630, 21000865, 19009315, 21000145, 21009760, 19008032, 18005934, 17007234, 21003610, 19005135, 19008511]",24
BIO2202 3,"[19008788, 19007399, 19006762, 20009047, 19004249, 19003659, 20006949, 19009594, 19008152, 21005770, 19002972, 19003032, 20005135, 21003015, 19003904, 19004315, 20008966, 19000954, 19003731, 19000380, 21000307, 19000012, 19007688, 19009108, 19002118]",25
BIO2202 4,"[21009616, 21005595, 21005725, 19006081, 16003476, 19005075, 21008653, 21009847, 18007408, 21001615, 21009314, 21008513, 21004547, 20003089, 21008288]",15
BIO2202 5,"[20001687, 21009538, 21002810, 21009851, 21004176, 21001818, 21003034, 19006082, 21003975, 21005412, 20005143, 21001950, 21005263, 20009108, 21004359, 20001896, 20001097, 21009062, 21002777, 21007723, 20006082, 21009098, 20006926, 20004586, 20004630, 20006797]",26
BIO2202 6,"[21002839, 20000038, 21009852, 21004715, 21008220, 18007092, 18009314, 21008752, 19005525, 21000665, 21001394, 21001142, 21002200, 21002901, 20003666, 20000137, 16003170, 20000995, 21006910, 21006920, 21001845, 21003019, 21007322, 21000244, 18004983, 21008431, 21006970]",27
BIO2202 7,"[21003887, 21009901, 21007601, 21009266, 21009600, 21009161, 21006792, 21008600, 21006386, 21000211, 21003824, 21002017, 20006752, 21003810, 21000791, 21004592, 21004798, 21009609, 21004739, 21008916, 21006516, 21005181, 20008100, 21005295, 21001909, 20008064, 21007505]",27
BIO2202 8,"[18007921, 21009132]",2
