subjectCode,MSVList,numberStudents
BIO2043 CLCCNS,"[19003223, 19004603, 19005510, 19005687, 19005818, 19009535, 20001462]",7
BIO2044,"[18008510, 19000012, 19000145, 19000307, 19000380, 19000545, 19000871, 19000880, 19000903, 19000954, 19001739, 19002118, 19002671, 19002972, 19003032, 19003076, 19003239, 19003334, 19003571, 19003587, 19003659, 19003731, 19003736, 19003904, 19003951, 19004128, 19004146, 19004249, 19004315, 19004348, 19004913, 19004987, 19005017, 19005075, 19005135, 19005530, 19005538, 19005954, 19006081, 19006762, 19006949, 19007176, 19007201, 19007301, 19007399, 19007584, 19007688, 19008032, 19008152, 19008511, 19008763, 19008788, 19008934, 19009047, 19009108, 19009254, 19009315, 19009432, 19009594, 19009917, 20005954, 20008763]",62
BIO2045,"[17005746, 18000003, 18000757, 18002341, 18003602, 18005255, 18005925, 18007275, 18007345, 18007627, 18008574, 19000012, 19000145, 19000307, 19000380, 19000871, 19000880, 19000903, 19000954, 19001739, 19002118, 19002671, 19002972, 19003032, 19003076, 19003334, 19003571, 19003587, 19003659, 19003731, 19003736, 19003904, 19003951, 19004128, 19004146, 19004249, 19004315, 19004348, 19004913, 19004987, 19005017, 19005075, 19005135, 19005530, 19005954, 19006081, 19006762, 19006949, 19007176, 19007201, 19007301, 19007363, 19007399, 19007584, 19007688, 19008032, 19008152, 19008511, 19008763, 19008788, 19008934, 19009047, 19009108, 19009254, 19009315, 19009432, 19009594, 19009917, 20000521, 20000733, 20001206, 20001940, 20002118, 20002943, 20003076, 20003389, 20003731, 20003736, 20004751, 20005436, 20005530, 20005538, 20005954, 20007201, 20007399, 20008325, 20009046, 20009047, 20009669, 20009773]",90
BIO2045E CLCCNS,"[17002957, 18000595, 19002331, 19008662, 20000254, 20000583, 20000860, 20001495, 20003366, 20006451, 20006480, 20007634, 21000116, 21000203, 21000212, 21000482, 21000535, 21000787, 21000830, 21000842, 21001071, 21001243, 21001243, 21001266, 21001328, 21001495, 21001549, 21001799, 21001828, 21001877, 21001910, 21001950, 21002043, 21002400, 21002415, 21002415, 21002523, 21002632, 21002660, 21003048, 21003105, 21003381, 21003532, 21003651, 21003669, 21003718, 21003770, 21003842, 21003863, 21003989, 21004003, 21004032, 21004128, 21004168, 21004215, 21004280, 21004316, 21004542, 21004555, 21004702, 21005054, 21005133, 21005238, 21005294, 21005511, 21005550, 21005612, 21005657, 21005681, 21005982, 21006058, 21006273, 21006445, 21006480, 21006522, 21006648, 21006735, 21006856, 21006927, 21007045, 21007056, 21007065, 21007176, 21007327, 21007365, 21007402, 21007831, 21007956, 21007991, 21008037, 21008162, 21008172, 21008273, 21008297, 21008452, 21008510, 21008511, 21008520, 21008544, 21008635, 21008657, 21008723, 21008754, 21008800, 21008817, 21008855, 21008931, 21009084, 21009188, 21009364, 21009373, 21009435, 21009446, 21009471, 21009663, 21009822, 21009884, 21009972]",118
BIO2088,"[18001902, 18002391, 18002746, 18003023, 18003155, 18004542, 18004828, 18005463, 18005934, 18005982, 18006622, 18007034, 18007275, 18008250, 18008928, 19000128, 19000401, 19000697, 19000701, 19000702, 19001097, 19001122, 19001343, 19001423, 19001501, 19001563, 19001565, 19001615, 19001814, 19001896, 19001940, 19002246, 19002315, 19002324, 19002327, 19002472, 19002899, 19002954, 19003089, 19003123, 19003248, 19003350, 19003507, 19003516, 19003549, 19004137, 19004235, 19004298, 19004658, 19004665, 19004738, 19004751, 19004771, 19004822, 19005034, 19005102, 19005106, 19005375, 19005420, 19005906, 19005928, 19006034, 19006053, 19006082, 19006621, 19006637, 19007583, 19007657, 19007889, 19007983, 19008054, 19008064, 19008271, 19008293, 19008318, 19008323, 19008839, 19008915, 19009041, 19009046, 19009046, 19009059, 19009197, 19009590, 19009663, 19009699, 19009870, 19009946, 19009994, 20008680]",90
BIO2089 TNS,"[17008800, 18000338, 18008398, 19001710, 19001862, 19002611, 19003433, 19003782, 19003918, 19004449, 19004693, 19004839, 19005255, 19005337, 19005618, 19005898, 19006950, 19007115, 19007285, 19009193, 19009352, 19009746]",22
BIO2092,"[18006181, 19000012, 19000145, 19000871, 19000880, 19000903, 19000954, 19001739, 19002118, 19002671, 19002972, 19003032, 19003076, 19003239, 19003334, 19003571, 19003587, 19003659, 19003731, 19003736, 19003904, 19003951, 19004146, 19004249, 19004315, 19004348, 19004913, 19004987, 19005017, 19005075, 19005135, 19005530, 19005538, 19005954, 19006081, 19006762, 19007176, 19007201, 19007301, 19007399, 19007584, 19007688, 19008032, 19008152, 19008511, 19008763, 19008788, 19008934, 19009047, 19009108, 19009254, 19009432, 19009594, 19009917, 20000481, 20001739, 20002505, 20005287, 20006363, 20008152, 20008763, 20009336]",62
BIO2127 CLCCNS,"[17005075, 19000013, 19000061, 19000203, 19000515, 19000547, 19000758, 19000762, 19000929, 19000983, 19001210, 19001370, 19001513, 19001727, 19001761, 19001788, 19001925, 19001974, 19002331, 19002691, 19002697, 19002853, 19002880, 19003063, 19003223, 19003347, 19003379, 19003529, 19003544, 19003700, 19003801, 19003874, 19004004, 19004045, 19004159, 19004261, 19004395, 19004397, 19004408, 19004495, 19004603, 19004922, 19004945, 19005059, 19005510, 19005524, 19005687, 19005818, 19005900, 19005950, 19006057, 19006272, 19007110, 19007156, 19007345, 19007359, 19007511, 19007640, 19007762, 19007896, 19008070, 19008112, 19008182, 19008182, 19008496, 19008569, 19008602, 19008617, 19008662, 19008686, 19008761, 19008932, 19009078, 19009194, 19009428, 19009535, 19009555, 19009742, 19009774, 19009962, 20001360, 20001691, 20001716, 20002176, 20003918, 20005069, 20005952, 20006480, 20006748, 20008032, 20008297, 20009084, 20009486, 20009806, 20009918, 21006058]",96
BIO2201,"[18000957, 18001486, 18002253, 18006748, 18007115, 18008510, 19000012, 19000128, 19000145, 19000307, 19000380, 19000401, 19000545, 19000697, 19000701, 19000871, 19000880, 19000903, 19000954, 19001565, 19001739, 19002118, 19002315, 19002324, 19002671, 19002972, 19003032, 19003076, 19003089, 19003239, 19003248, 19003334, 19003516, 19003571, 19003587, 19003659, 19003731, 19003736, 19003951, 19004137, 19004146, 19004249, 19004298, 19004315, 19004822, 19004913, 19004987, 19005017, 19005075, 19005135, 19005525, 19005530, 19005538, 19005954, 19006081, 19006637, 19006762, 19006949, 19007176, 19007301, 19007363, 19007399, 19007584, 19007688, 19008032, 19008054, 19008152, 19008511, 19008763, 19008788, 19008915, 19008934, 19009047, 19009108, 19009254, 19009315, 19009432, 19009594, 19009699, 19009917, 19010426, 19013220, 19014458, 19017992, 19019328, 20001896, 20003248, 20004348, 20005375, 20006082, 20006490, 20007043, 20009047, 20009108, 21000307, 21006081]",96
BIO2202,"[16003170, 16003476, 17006630, 17007234, 18000957, 18002099, 18004983, 18005255, 18005934, 18007092, 18007408, 18007921, 18008510, 18009314, 19000012, 19000145, 19000380, 19000545, 19000871, 19000954, 19001739, 19002118, 19002671, 19002972, 19003032, 19003076, 19003334, 19003587, 19003659, 19003731, 19003904, 19003951, 19004146, 19004249, 19004315, 19004913, 19004987, 19005017, 19005075, 19005135, 19005525, 19005530, 19005954, 19006081, 19006082, 19006762, 19007201, 19007301, 19007363, 19007399, 19007584, 19007688, 19008032, 19008152, 19008511, 19008763, 19008788, 19008934, 19009047, 19009108, 19009254, 19009315, 19009432, 19009594, 19009917, 20000038, 20000137, 20000995, 20001097, 20001687, 20001896, 20002195, 20003089, 20003248, 20003357, 20003587, 20003666, 20004586, 20004630, 20004913, 20005135, 20005143, 20005375, 20006082, 20006752, 20006797, 20006926, 20006949, 20008064, 20008100, 20008763, 20008966, 20009047, 20009108, 21000145, 21000211, 21000244, 21000307, 21000665, 21000791, 21000865, 21001142, 21001394, 21001615, 21001676, 21001818, 21001845, 21001909, 21001950, 21002017, 21002200, 21002777, 21002810, 21002839, 21002901, 21003015, 21003019, 21003034, 21003610, 21003810, 21003824, 21003850, 21003887, 21003975, 21004176, 21004359, 21004547, 21004592, 21004715, 21004739, 21004798, 21005181, 21005263, 21005295, 21005412, 21005595, 21005725, 21005770, 21006386, 21006516, 21006792, 21006910, 21006920, 21006970, 21007322, 21007505, 21007601, 21007723, 21008220, 21008288, 21008431, 21008513, 21008600, 21008653, 21008752, 21008916, 21009062, 21009098, 21009132, 21009161, 21009266, 21009314, 21009538, 21009600, 21009609, 21009616, 21009760, 21009847, 21009851, 21009852, 21009901]",171
BIO2203,"[18000003, 18000899, 18002302, 18002469, 18004449, 18006432, 18007115, 19005017, 19007176, 19007405, 19008054, 19009108, 19010426, 19011025, 19011199, 19012105, 19012498, 19012915, 19013023, 19013220, 19013381, 19013517, 19013602, 19013775, 19013942, 19014218, 19014238, 19014273, 19014458, 19014546, 19014547, 19015166, 19015787, 19016815, 19016853, 19017188, 19017275, 19017336, 19017460, 19017502, 19017574, 19017642, 19017992, 19018448, 19019328, 19019575, 20000038, 20000299, 20000329, 20000380, 20000481, 20000521, 20000545, 20000733, 20000833, 20000871, 20000880, 20000903, 20000954, 20001097, 20001206, 20001304, 20001329, 20001433, 20001564, 20001565, 20001729, 20001739, 20001763, 20001887, 20001896, 20001940, 20002104, 20002118, 20002195, 20002225, 20002288, 20002361, 20002505, 20002943, 20003032, 20003076, 20003089, 20003155, 20003206, 20003239, 20003248, 20003334, 20003357, 20003389, 20003453, 20003532, 20003587, 20003656, 20003673, 20003731, 20003736, 20003756, 20003782, 20003904, 20003909, 20004071, 20004073, 20004121, 20004128, 20004146, 20004179, 20004249, 20004348, 20004410, 20004751, 20004854, 20004913, 20004987, 20005106, 20005135, 20005287, 20005314, 20005336, 20005375, 20005530, 20005538, 20005770, 20005954, 20006014, 20006081, 20006082, 20006231, 20006236, 20006363, 20006372, 20006490, 20006580, 20006719, 20006752, 20006906, 20006926, 20006949, 20007131, 20007363, 20007399, 20007750, 20007889, 20007983, 20008032, 20008152, 20008166, 20008231, 20008261, 20008295, 20008318, 20008323, 20008325, 20008590, 20008680, 20008782, 20008934, 20008966, 20009046, 20009047, 20009108, 20009197, 20009283, 20009336, 20009432, 20009651, 20009663, 20009669, 20009745, 20009773, 20009845, 20009907, 20009917, 20009994, 21000307]",175
BIO2204,"[18004983, 18008510, 19000145, 19000307, 19000903, 19000954, 19001563, 19003239, 19003571, 19004128, 19006949, 19007201, 19007405, 19008152, 19009917, 19011025, 19011146, 19012498, 19012728, 19013582, 19013942, 19014027, 19014273, 19014547, 19014820, 19015643, 19016276, 19016825, 19017069, 19017642, 19017982, 19019638, 19019946, 19019984, 20000038, 20000380, 20000545, 20000733, 20000880, 20000954, 20001097, 20001206, 20001329, 20001565, 20001729, 20001896, 20001940, 20002118, 20002288, 20003032, 20003076, 20003089, 20003206, 20003248, 20003389, 20003422, 20003516, 20003532, 20003656, 20003731, 20003736, 20003782, 20003904, 20004179, 20004410, 20004751, 20004854, 20005106, 20005135, 20005314, 20005375, 20005436, 20005530, 20005538, 20006082, 20006231, 20006372, 20006926, 20006949, 20007043, 20007201, 20007750, 20007889, 20007983, 20008032, 20008318, 20008323, 20008680, 20008966, 20009046, 20009047, 20009108, 20009197, 20009283, 20009663, 20009669, 20009773, 20009907, 20009917, 20009994]",100
BIO2206,"[19000012, 19000145, 19000380, 19000871, 19000903, 19000954, 19001563, 19001739, 19002118, 19002671, 19002972, 19003076, 19003239, 19003334, 19003571, 19003587, 19003659, 19003731, 19003736, 19003951, 19004249, 19004315, 19005017, 19005135, 19005530, 19005538, 19005954, 19006949, 19007201, 19007301, 19007363, 19007584, 19007688, 19008032, 19008152, 19008763, 19008788, 19008934, 19009047, 19009108, 19009254, 19009315, 19009432, 19009594, 19009870, 19009917, 19011146, 19012728, 19016276, 19016825, 19019575, 19019984, 20000833, 20001206, 20001503, 20002288, 20003656, 20005336, 20005375, 20005538, 20006372, 20007201, 20007750, 20008032, 20008680, 20009745, 21000145, 21006752]",68
BIO2210,"[18001855, 18005020, 18005463, 18005705, 18101289, 18103023, 19000307, 19107188, 21100025, 21100033, 21100073, 21100232, 21100235, 21100277, 21100426, 21100590, 21100610, 21100726, 21100757, 21100899, 21100957, 21101025, 21101146, 21101199, 21101289, 21101547, 21101654, 21101710, 21101950, 21101984, 21102099, 21102105, 21102110, 21102130, 21102176, 21102191, 21102253, 21102342, 21102469, 21102498, 21102532, 21102611, 21102667, 21102721, 21102728, 21102761, 21102915, 21103005, 21103023, 21103155, 21103220, 21103226, 21103317, 21103381, 21103392, 21103582, 21103602, 21103775, 21103875, 21103931, 21103942, 21104027, 21104149, 21104218, 21104273, 21104344, 21104367, 21104449, 21104458, 21104547, 21104558, 21104565, 21104762, 21104818, 21104820, 21104828, 21104828, 21104851, 21104917, 21104917, 21105014, 21105139, 21105164, 21105166, 21105242, 21105255, 21105327, 21105600, 21105618, 21105640, 21105643, 21105833, 21105925, 21105994, 21106058, 21106181, 21106432, 21106482, 21106555, 21106596, 21106730, 21106815, 21106825, 21106853, 21106930, 21106981, 21107069, 21107092, 21107115, 21107157, 21107188, 21107203, 21107251, 21107263, 21107270, 21107275, 21107279, 21107336, 21107371, 21107401, 21107424, 21107502, 21107574, 21107608, 21107624, 21107642, 21107663, 21107705, 21107724, 21107982, 21107985, 21107992, 21108016, 21108149, 21108252, 21108261, 21108297, 21108297, 21108337, 21108448, 21108510, 21108525, 21108574, 21108599, 21108601, 21108787, 21109236, 21109328, 21109336, 21109412, 21109466, 21109473, 21109575, 21109638, 21109699, 21109746, 21109771, 21109946, 21109984]",159
