MSV,classCodeList,subjectCodeList
12008182,['PHY2306'],['PHY2306']
14009946,['MAT3452 1'],['MAT3452']
15103708,['PHY1103 12'],['PHY1103']
16000260,"['CHE1057 1', 'CHE1080 4', 'EVS3242 1', 'EVS3287', 'EVS3455', 'HIS1056 7', 'MAT1090 1', 'MAT1092 3', 'MAT1101 4', 'PHY1103 4']","['CHE1057', 'CHE1080', 'EVS3242', 'EVS3287', 'EVS3455', 'HIS1056', 'MAT1090', 'MAT1092', 'MAT1101', 'PHY1103']"
16000386,['PHY1161 1CTĐB'],['PHY1161 CTĐB']
16000916,"['CHE3253', 'HIS1056 10']","['CHE3253', 'HIS1056']"
16001233,"['EVS3244 1', 'EVS3287', 'EVS3455']","['EVS3244', 'EVS3287', 'EVS3455']"
16001379,"['CHE1080 1', 'CHE1081 5', 'EVS2017', 'EVS3241', 'EVS3242 1', 'EVS3248', 'EVS3409']","['CHE1080', 'CHE1081', 'EVS2017', 'EVS3241', 'EVS3242', 'EVS3248', 'EVS3409']"
16002563,"['MAT1192 1', 'PHI1002 1', 'PHY1103 1']","['MAT1192', 'PHI1002', 'PHY1103']"
16002583,"['MAT2311 2TNT', 'MAT3305', 'MAT3318 2TNT', 'MAT3347 1']","['MAT2311 TNT', 'MAT3305', 'MAT3318 TNT', 'MAT3347']"
16003010,['MAT2311'],['MAT2311']
16003170,"['BIO2202 6', 'BIO3252E QTS', 'BIO3400E 2QTS', 'CHE1081 14QTS', 'MAT1101 12', 'PHY1103 2']","['BIO2202', 'BIO3252E QTS', 'BIO3400E QTS', 'CHE1081 QTS', 'MAT1101', 'PHY1103']"
16003408,"['EVS2301 1', 'EVS2302 4', 'HIS1056 6', 'MAT1092 5', 'PHI1002 9', 'PHY1103 14CLCMTKHTT']","['EVS2301', 'EVS2302', 'HIS1056', 'MAT1092', 'PHI1002', 'PHY1103 CLCMTKHTT']"
16003476,['BIO2202 4'],['BIO2202']
16003600,['BIO3302 4'],['BIO3302']
16003755,['MAT3300 3TNT'],['MAT3300 TNT']
16004481,"['GLO2056', 'MAT1091 7', 'MAT1192 8QTS']","['GLO2056', 'MAT1091', 'MAT1192 QTS']"
16004519,['MAT1091 4'],['MAT1091']
16004736,['BIO3302 1'],['BIO3302']
16004795,['BIO3405E QTS'],['BIO3405E QTS']
16005006,"['MAT1101 7', 'PHY1108 4', 'PHY2304 3']","['MAT1101', 'PHY1108', 'PHY2304']"
16005420,['CHE1084'],['CHE1084']
16005601,['EVS3241'],['EVS3241']
16005950,"['MAT2301 3', 'MAT2303 3', 'MAT3305', 'MAT3306']","['MAT2301', 'MAT2303', 'MAT3305', 'MAT3306']"
16006110,['PHY1100 14'],['PHY1100']
16006115,"['CHE1080 3', 'EVF2032', 'EVS3250 2', 'EVS3409', 'EVS3453', 'MAT1091 4', 'MAT1101 10', 'PHI1002 12', 'PHY1103 3']","['CHE1080', 'EVF2032', 'EVS3250', 'EVS3409', 'EVS3453', 'MAT1091', 'MAT1101', 'PHI1002', 'PHY1103']"
16006275,"['PHY2302 1', 'PHY3508 3']","['PHY2302', 'PHY3508']"
16006283,"['HIS1001 12', 'HMO3603', 'HMO3608', 'HMO3610', 'PHI1002 12']","['HIS1001', 'HMO3603', 'HMO3608', 'HMO3610', 'PHI1002']"
16006503,['EVS3241'],['EVS3241']
16006825,['PHY2304 5'],['PHY2304']
16007060,['CHE1081 10'],['CHE1081']
16007096,['MAT3300 2'],['MAT3300']
16007791,"['MAT1092 3', 'MAT2403 3']","['MAT1092', 'MAT2403']"
16008258,"['MAT1101 10', 'PHY1103 1']","['MAT1101', 'PHY1103']"
16008265,['CHE1081 14QTS'],['CHE1081 QTS']
16008485,"['MAT1092 3', 'MAT2403 3', 'PHY1106 QTL', 'POL1001 6']","['MAT1092', 'MAT2403', 'PHY1106 QTL', 'POL1001']"
