firstSubjectCode,secondSubjectCode,studentsSameTwoSubjects,numberStudents
BIO2043 CLCCNS,BIO2044,[],0
BIO2043 CLCCNS,BIO2045,[],0
BIO2043 CLCCNS,BIO2045E CLCCNS,[],0
BIO2043 CLCCNS,BIO2088,[],0
BIO2043 CLCCNS,BIO2089 TNS,[],0
BIO2043 CLCCNS,BIO2092,[],0
BIO2043 CLCCNS,BIO2127 CLCCNS,"[19003223, 19004603, 19005510, 19005687, 19005818, 19009535]",6
BIO2043 CLCCNS,BIO2201,[],0
BIO2043 CLCCNS,BIO2202,[],0
BIO2043 CLCCNS,BIO2203,[],0
BIO2043 CLCCNS,BIO2204,[],0
BIO2043 CLCCNS,BIO2206,[],0
BIO2043 CLCCNS,BIO2210,[],0
BIO2043 CLCCNS,BIO2210 CLCRHM,[],0
BIO2043 CLCCNS,BIO2215E CLCCNS,"[19003223, 19004603, 19005510, 19005687, 19005818, 19009535]",6
BIO2043 CLCCNS,BIO2220,[],0
BIO2043 CLCCNS,BIO2400,[],0
BIO2043 CLCCNS,BIO2400E CLCCNS,[20001462],1
BIO2043 CLCCNS,BIO2403E CLCCNS,[19005818],1
BIO2043 CLCCNS,BIO2405E QTS,[],0
BIO2043 CLCCNS,BIO2504 TNS,[],0
BIO2043 CLCCNS,BIO2516 CLCCNS,"[19003223, 19004603, 19005510, 19005687, 19005818, 19009535]",6
BIO2043 CLCCNS,BIO2800 CLCCNS,"[19003223, 19004603, 19005510, 19005687, 19005818, 19009535]",6
BIO2043 CLCCNS,BIO3098,[],0
BIO2043 CLCCNS,BIO3099,[],0
BIO2043 CLCCNS,BIO3178 CLCCNS,[19003223],1
BIO2043 CLCCNS,BIO3182 CLCCNS,[20001462],1
BIO2043 CLCCNS,BIO3190,[],0
BIO2043 CLCCNS,BIO3191,[],0
BIO2043 CLCCNS,BIO3201,[],0
BIO2043 CLCCNS,BIO3205,[],0
BIO2043 CLCCNS,BIO3227E QTS,[],0
BIO2043 CLCCNS,BIO3252,[],0
BIO2043 CLCCNS,BIO3252E QTS,[],0
BIO2043 CLCCNS,BIO3257 TNS,[],0
BIO2043 CLCCNS,BIO3258,[],0
BIO2043 CLCCNS,BIO3258E QTS,[],0
BIO2043 CLCCNS,BIO3262 TNS,[],0
BIO2043 CLCCNS,BIO3263 TNS,[],0
BIO2043 CLCCNS,BIO3301 CLCCNS,[],0
BIO2043 CLCCNS,BIO3302,[],0
BIO2043 CLCCNS,BIO3302E CLCCNS,"[19003223, 19004603, 19005510, 19005687, 19005818, 19009535]",6
BIO2043 CLCCNS,BIO3303,[],0
BIO2043 CLCCNS,BIO3304,[],0
BIO2043 CLCCNS,BIO3330 CLCCNS,[],0
BIO2043 CLCCNS,BIO3356 CLCCNS,[],0
BIO2043 CLCCNS,BIO3370E QTS,[],0
BIO2043 CLCCNS,BIO3372E QTS,[],0
BIO2043 CLCCNS,BIO3373 TNS,[20001462],1
BIO2043 CLCCNS,BIO3377 TNS,[],0
BIO2043 CLCCNS,BIO3400E QTS,[],0
BIO2043 CLCCNS,BIO3401E QTS,[],0
BIO2043 CLCCNS,BIO3403E QTS,[],0
BIO2043 CLCCNS,BIO3405E QTS,[],0
BIO2043 CLCCNS,BIO3504 TNS,[],0
BIO2043 CLCCNS,BIO3701 TNS,[],0
BIO2043 CLCCNS,BIO3802E CLCCNS,"[19003223, 19004603, 19005510, 19005687, 19005818, 19009535]",6
BIO2043 CLCCNS,BIO3803E CLCCNS,[20001462],1
BIO2043 CLCCNS,CHE1048,[],0
BIO2043 CLCCNS,CHE1048 CLCCNH,[],0
BIO2043 CLCCNS,CHE1052,[],0
BIO2043 CLCCNS,CHE1052 CLCCNH,[],0
BIO2043 CLCCNS,CHE1052 CLCHD,[],0
BIO2043 CLCCNS,CHE1057,[],0
BIO2043 CLCCNS,CHE1057 CLCCNS,[],0
BIO2043 CLCCNS,CHE1057 QTS,[],0
BIO2043 CLCCNS,CHE1065,[],0
BIO2043 CLCCNS,CHE1067,[],0
BIO2043 CLCCNS,CHE1067 CLCHD,[],0
BIO2043 CLCCNS,CHE1075,[],0
BIO2043 CLCCNS,CHE1075E CLCHD,[],0
BIO2043 CLCCNS,CHE1077 TNH,[],0
BIO2043 CLCCNS,CHE1079,[],0
BIO2043 CLCCNS,CHE1079 TNH,[],0
BIO2043 CLCCNS,CHE1079E CLCCNH,[],0
BIO2043 CLCCNS,CHE1080,[],0
BIO2043 CLCCNS,CHE1081,"[19003223, 19005510, 19009535]",3
BIO2043 CLCCNS,CHE1081 CLCCNS,[],0
BIO2043 CLCCNS,CHE1081 QTS,[],0
BIO2043 CLCCNS,CHE1081 TNS,[],0
BIO2043 CLCCNS,CHE1083,[],0
BIO2043 CLCCNS,CHE1084,[],0
BIO2043 CLCCNS,CHE1084 TNH,[],0
BIO2043 CLCCNS,CHE1090,[],0
BIO2043 CLCCNS,CHE1091,[],0
BIO2043 CLCCNS,CHE1091 CLCCNH,[],0
BIO2043 CLCCNS,CHE1095E TTH,[],0
BIO2043 CLCCNS,CHE1099E TNH,[],0
BIO2043 CLCCNS,CHE1099E TTH,[],0
BIO2043 CLCCNS,CHE1129 CLCCNH,[],0
BIO2043 CLCCNS,CHE1155,[],0
